0000112E,00002EC6,2,169,0,
00000F7A,00002E40,2,102,0,
0000149A,00001F72,3,5,0,
00000CCC,00001E6A,2,5,0,
0000091C,000017A2,1,3,0,
00000AD6,000027E8,1,14,0,
00000030,00002792,1,13,0,
00001BB6,00001F9C,4,5,0,
00000032,000016BE,1,3,0,
0000117A,00001B34,2,4,0,
00002006,00002A80,6,24,0,
00001566,00001F44,3,5,0,
00001EF8,0000275C,5,13,0,
0000133C,00002E52,3,106,0,
00000BB4,0000246A,1,9,0,
00000ABE,0000271C,1,12,0,
00000C80,00002D1E,2,55,0,
0000158E,0000236A,3,8,0,
0000194C,00002C86,4,43,0,
00001D5C,00002D30,4,56,0,
00002538,0000258C,9,10,0,
00000ED8,000016C8,2,3,0,
00000B46,00002D6A,1,61,0,
00000B7A,00002210,1,7,0,
0000074A,000014F4,1,3,0,
00000978,0000162E,1,3,0,
0000208A,000024CE,6,9,0,
00000986,000028BC,1,16,0,
00000CC2,0000162E,2,3,0,
000008A2,000021E2,1,7,0,
000028F8,00002A66,17,23,0,
0000218A,000025DA,6,10,0,
00000642,00001A0E,1,4,0,
000007E2,000018C8,1,3,0,
000005DC,0000175E,1,3,0,
000016F2,000024A4,3,9,0,
000000B4,00001574,1,3,0,
00000188,00000E60,1,2,0,
00000C2E,00001C8E,2,4,0,
000008D2,00001B96,1,4,0,
00002296,00002606,7,11,0,
0000112E,00001F8C,2,5,0,
0000275E,00002C1C,13,37,0,
00002588,00002DF8,10,82,0,
00001344,000019F4,3,4,0,
000009EA,000027BA,1,14,0,
00000C48,00002DFC,2,82,0,
0000142A,00001D32,3,4,0,
0000055C,000010CA,1,2,0,
000010F4,00001340,2,3,0,
000013DE,00002120,3,6,0,
00000ECC,00001568,2,3,0,
00001774,00001CDA,3,4,0,
000013AA,0000239E,3,8,0,
00000AD6,00002E06,1,84,0,
000000F6,00002C72,1,42,0,
00001F68,000022C4,5,7,0,
00000378,00002EF0,1,214,0,
000006BC,000020AE,1,6,0,
0000069C,00001304,1,3,0,
000018B0,000023CE,3,8,0,
0000272E,0000297A,12,19,0,
00000474,00002264,1,7,0,
00000B38,00002796,1,13,0,
00000D22,00002C58,2,41,0,
00000578,00000FC0,1,2,0,
00001AE0,000025DC,4,11,0,
00001380,00001E8E,3,5,0,
000012F6,00002B90,3,32,0,
0000006A,00002066,1,6,0,
000011C6,00001DA2,3,4,0,
000001FA,000029D0,1,20,0,
00000A6A,0000298A,1,19,0,
00001128,00002DE2,2,78,0,
00000548,0000143E,1,3,0,
00001D66,00002CEE,4,51,0,
00000E9A,00002250,2,7,0,
00001580,00002732,3,12,0,
00000334,0000130E,1,3,0,
0000071A,00002030,1,6,0,
00000C92,000028C6,2,16,0,
000000BC,00001F6C,1,5,0,
00001884,000020AE,3,6,0,
00001642,00002C28,3,38,0,
00001D58,00002B7A,4,31,0,
00000744,000016AC,1,3,0,
000004FE,00001146,1,2,0,
00000278,00000F68,1,2,0,
00000136,00002EDC,1,185,0,
000016CC,00001B32,3,4,0,
00000802,00000FD0,1,2,0,
000022DE,000029EC,7,20,0,
000013D8,00002D36,3,56,0,
0000079C,00000DCE,1,2,0,
00001D6C,00002184,4,6,0,
00001A5E,00002652,4,11,0,
00000890,00001BD0,1,4,0,
000001BA,00001876,1,3,0,
000006B8,00001C50,1,4,0,
00001EC8,000022F8,5,7,0,
00000F5C,000027CE,2,14,0,
