00000932,00002AE0,1,26,0000197E,00002DAC,4,69,0,
00000910,00002F2E,1,921,0000064C,000028F2,1,17,0,
000011D0,000026F4,3,12,0000070E,00002238,1,7,0,
00000878,00001772,1,3,000009D4,000010CA,1,2,0,
00000C12,000015BE,1,3,00002762,00002B60,13,30,0,
00001EE0,00002E78,5,121,0,
00000126,00002068,1,6,0,
00001BCA,00002D96,4,66,00001146,00001E36,2,5,0,
0000227A,00002AC4,7,26,000015E6,00002B8C,3,32,0,
00001C34,000023F8,4,8,000014F0,00002548,3,10,0,
00002C58,00002E04,41,84,000007F4,00000F7C,1,2,0,
000011F8,00002E0A,3,86,00000420,00001950,1,4,0,
00000AB6,000020F0,1,6,00002034,000028BA,6,16,0,
000001E2,000022D0,1,7,000001AA,00001C9C,1,4,0,
00000DCE,00001310,2,3,000002D0,00002EDA,1,184,0,
00001716,00002EAA,3,144,0,
0000021A,00002CFC,1,52,00002612,00002B00,11,27,0,
00001334,00001A4C,3,4,0,
00000636,000010A8,1,2,000008B6,00001ABA,1,4,0,
0000182E,00002D44,3,58,000009EA,00000CD8,1,2,0,
00002358,000024CE,8,9,0,
0000017A,000010BE,1,2,00000DC4,00001FB2,2,5,0,
00001E8C,00002284,5,7,00000D6A,000023F6,2,8,0,
00001DBA,00002910,4,17,00001CA4,00002B2A,4,29,0,
0000186E,00001B80,3,4,00001B42,00002EB6,4,154,0,
0000204A,00002BF4,6,36,000003F8,00000D68,1,2,0,
00001EB2,00002680,5,12,000008B2,00000F58,1,2,0,
00001132,0000129C,2,3,0,
00001502,00002F2E,3,921,000006CA,0000167C,1,3,3,
000010B6,0000267E,2,12,00002440,0000287E,8,16,0,
00001306,00002AE4,3,26,00000CE0,00001D3E,2,4,0,
00000AAC,00001968,1,4,0000020E,00002E24,1,93,0,
0000124C,000026DE,3,12,0,
0000079E,00002AD6,1,26,000018EE,00002758,3,13,0,
0000138C,00002848,3,15,000000D6,00002986,1,19,0,
00000E7C,00001372,2,3,00000B82,0000237E,1,8,0,
00000B86,00000CA6,1,2,000003FE,00001D5C,1,4,0,
00002840,00002B3E,15,29,0,
00001D28,00002D1C,4,54,0000075C,00001528,1,3,0,
000001CC,00001738,1,3,0000175A,00002EBA,3,156,0,
00002662,00002DC2,11,73,0000062C,000029A8,1,19,0,
00001360,00002202,3,7,00002D84,00002EC8,64,170,0,
000005AC,00002794,1,13,0000142A,00002918,3,17,0,
0000050C,00002DD4,1,76,000001AC,000011B2,1,3,0,
00002E9E,00002F0E,138,272,0,
00000FB8,00002726,2,12,00000E76,00001518,2,3,0,
000006D8,000023A0,1,8,000001E0,000015AE,1,3,0,
000004DC,00001532,1,3,00000368,00001274,1,3,0,
00000598,00000CE6,1,2,000002CE,000020D4,1,6,0,
00001982,0000298E,4,19,00001F2E,00002066,5,6,0,
00001382,00001B26,3,4,00002032,00002C92,6,44,0,
00001220,0000277A,3,13,000002AE,00001580,1,3,0,
00002660,00002AF8,11,27,000014E8,00001E50,3,5,0,
000004B4,00001C98,1,4,000004C6,00002CA2,1,45,0,
00000A3C,00000C56,1,2,000006A6,00000F18,1,2,0,
0000191C,00002188,4,6,00000BBC,00002722,1,12,0,
000007C4,00001F3C,1,5,000002C2,000018C0,1,3,0,
0000032C,00002A8C,1,24,0000167E,00001B2C,3,4,0,
0000077A,000028D0,1,16,0,
0,
00001676,00002E5C,3,111,000018BA,00002C4A,3,40,0,
000003D8,00000F62,1,2,0,
000001BC,00001BB8,1,4,00000744,00000FA2,1,2,0,
00000418,00002E66,1,115,0,
0000112C,00001C5E,2,4,000006DC,000010EE,1,2,0,
00001458,00002208,3,7,00002440,0000276C,8,13,0,
00000494,00002822,1,14,000007D6,00001714,1,3,0,
00001F68,00002B86,5,32,00000240,000023E6,1,8,0,
00001436,00002F18,3,329,000020FA,00002C2C,6,38,0,
00001C0E,00002398,4,8,0,
000013E8,00001DCA,3,4,00001098,00002B16,2,28,0,
00000904,00002882,1,16,00000EE4,00002F30,2,1178,0,
00000010,0000136A,1,3,00001FD2,000020FC,5,6,0,
0000180A,00001B52,3,4,00001606,00001920,3,4,0,
00000A30,00002D1C,1,54,00000680,000020F6,1,6,0,
00001688,00001C72,3,4,0000166C,000023A0,3,8,0,
00000172,00000E9E,1,2,00001362,00001E44,3,5,0,
000017A8,00002AAC,3,25,0000127C,00002798,3,13,0,
00000234,00002B90,1,32,00000E5C,000024DC,2,9,0,
